Method	ComboName	optionID	MergedFPR	optionTPR	cutoff	FPR	TPR	M6APeakModel	TPRmFPR	maxTPRmFPR	Mode
MACS2	Combo5	mean_Tx_bin100_P0.5	0.2	0.53	1.92	0.2	0.62	Abcam	0.42	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.2	0.31	1.79	0.2	0.62	Abcam	0.42	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.2	0.54	1.8	0.2	0.62	Abcam	0.42	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.2	0.22	1.98	0.2	0.62	Abcam	0.42	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.2	0.01	2.02	0.2	0.62	Abcam	0.42	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.21	0.16	2.21	0.21	0.64	Abcam	0.43	0.43	Moderate
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.21	0.27	1.93	0.21	0.64	Abcam	0.43	0.43	Moderate
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.21	0.02	1.87	0.21	0.64	Abcam	0.43	0.43	Moderate
MACS2	Combo5	mean_Tx_bin100_P0.5	0.21	0.53	1.92	0.21	0.64	Abcam	0.43	0.43	Moderate
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.21	0.01	3.85	0.21	0.64	Abcam	0.43	0.43	Moderate
TRESS	Combo47	mean_Ex_bin100_P0.5	0.21	0.32	1.75	0.21	0.64	Abcam	0.43	0.43	Moderate
TRESS	Combo48	mean_Ex_bin100_P0.5	0.21	0.54	1.8	0.21	0.64	Abcam	0.43	0.43	Moderate
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.21	0.22	1.98	0.21	0.64	Abcam	0.43	0.43	Moderate
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.21	0.01	2.02	0.21	0.64	Abcam	0.43	0.43	Moderate
TRESS	Combo57	mean_Ex_bin100_P0.5	0.22	0.16	2.21	0.22	0.64	Abcam	0.42	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.22	0.27	1.93	0.22	0.64	Abcam	0.42	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.22	0.02	1.87	0.22	0.64	Abcam	0.42	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.22	0.53	1.92	0.22	0.64	Abcam	0.42	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.22	0.01	3.53	0.22	0.64	Abcam	0.42	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.22	0.32	1.72	0.22	0.64	Abcam	0.42	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.22	0.56	1.74	0.22	0.64	Abcam	0.42	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.22	0.22	1.94	0.22	0.64	Abcam	0.42	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.22	0.01	1.98	0.22	0.64	Abcam	0.42	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.23	0.16	2.21	0.23	0.64	Abcam	0.41	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.23	0.28	1.88	0.23	0.64	Abcam	0.41	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.23	0.02	1.81	0.23	0.64	Abcam	0.41	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.23	0.55	1.85	0.23	0.64	Abcam	0.41	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.23	0.01	3.53	0.23	0.64	Abcam	0.41	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.23	0.33	1.66	0.23	0.64	Abcam	0.41	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.23	0.56	1.74	0.23	0.64	Abcam	0.41	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.23	0.23	1.9	0.23	0.64	Abcam	0.41	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.23	0.01	1.9	0.23	0.64	Abcam	0.41	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.24	0.16	2.21	0.24	0.66	Abcam	0.42	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.24	0.28	1.84	0.24	0.66	Abcam	0.42	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.24	0.02	1.76	0.24	0.66	Abcam	0.42	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.24	0.55	1.85	0.24	0.66	Abcam	0.42	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.24	0.01	3.53	0.24	0.66	Abcam	0.42	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.24	0.33	1.62	0.24	0.66	Abcam	0.42	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.24	0.56	1.74	0.24	0.66	Abcam	0.42	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.24	0.23	1.86	0.24	0.66	Abcam	0.42	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.24	0.01	1.82	0.24	0.66	Abcam	0.42	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.25	0.16	2.21	0.25	0.66	Abcam	0.41	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.25	0.29	1.8	0.25	0.66	Abcam	0.41	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.25	0.02	1.71	0.25	0.66	Abcam	0.41	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.25	0.57	1.79	0.25	0.66	Abcam	0.41	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.25	0.01	3.3	0.25	0.66	Abcam	0.41	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.25	0.33	1.59	0.25	0.66	Abcam	0.41	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.25	0.58	1.68	0.25	0.66	Abcam	0.41	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.25	0.23	1.82	0.25	0.66	Abcam	0.41	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.25	0.01	1.8	0.25	0.66	Abcam	0.41	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.26	0.16	2.21	0.26	0.68	Abcam	0.42	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.26	0.29	1.8	0.26	0.68	Abcam	0.42	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.26	0.02	1.68	0.26	0.68	Abcam	0.42	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.26	0.57	1.79	0.26	0.68	Abcam	0.42	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.26	0.01	3.1	0.26	0.68	Abcam	0.42	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.26	0.34	1.55	0.26	0.68	Abcam	0.42	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.26	0.58	1.68	0.26	0.68	Abcam	0.42	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.26	0.23	1.79	0.26	0.68	Abcam	0.42	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.26	0.01	1.8	0.26	0.68	Abcam	0.42	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.27	0.17	1.7	0.27	0.68	Abcam	0.41	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.27	0.29	1.76	0.27	0.68	Abcam	0.41	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.27	0.02	1.64	0.27	0.68	Abcam	0.41	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.27	0.57	1.79	0.27	0.68	Abcam	0.41	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.27	0.01	3.1	0.27	0.68	Abcam	0.41	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.27	0.34	1.52	0.27	0.68	Abcam	0.41	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.27	0.6	1.63	0.27	0.68	Abcam	0.41	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.27	0.24	1.75	0.27	0.68	Abcam	0.41	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.27	0.01	1.75	0.27	0.68	Abcam	0.41	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.28	0.17	1.7	0.28	0.7	Abcam	0.42	0.43	Sensitive
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.28	0.29	1.73	0.28	0.7	Abcam	0.42	0.43	Sensitive
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.28	0.02	1.62	0.28	0.7	Abcam	0.42	0.43	Sensitive
MACS2	Combo5	mean_Tx_bin100_P0.5	0.28	0.59	1.74	0.28	0.7	Abcam	0.42	0.43	Sensitive
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.28	0.01	2.94	0.28	0.7	Abcam	0.42	0.43	Sensitive
TRESS	Combo47	mean_Ex_bin100_P0.5	0.28	0.34	1.49	0.28	0.7	Abcam	0.42	0.43	Sensitive
TRESS	Combo48	mean_Ex_bin100_P0.5	0.28	0.6	1.59	0.28	0.7	Abcam	0.42	0.43	Sensitive
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.28	0.24	1.72	0.28	0.7	Abcam	0.42	0.43	Sensitive
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.28	0.01	1.69	0.28	0.7	Abcam	0.42	0.43	Sensitive
TRESS	Combo57	mean_Ex_bin100_P0.5	0.29	0.17	1.7	0.29	0.7	Abcam	0.41	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.29	0.3	1.7	0.29	0.7	Abcam	0.41	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.29	0.02	1.59	0.29	0.7	Abcam	0.41	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.29	0.59	1.74	0.29	0.7	Abcam	0.41	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.29	0.01	2.94	0.29	0.7	Abcam	0.41	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.29	0.34	1.45	0.29	0.7	Abcam	0.41	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.29	0.6	1.59	0.29	0.7	Abcam	0.41	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.29	0.24	1.68	0.29	0.7	Abcam	0.41	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.29	0.01	1.67	0.29	0.7	Abcam	0.41	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.3	0.17	1.7	0.3	0.7	Abcam	0.4	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.3	0.3	1.66	0.3	0.7	Abcam	0.4	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.3	0.02	1.59	0.3	0.7	Abcam	0.4	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.3	0.61	1.69	0.3	0.7	Abcam	0.4	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.3	0.02	2.79	0.3	0.7	Abcam	0.4	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.3	0.34	1.42	0.3	0.7	Abcam	0.4	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.3	0.62	1.55	0.3	0.7	Abcam	0.4	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.3	0.24	1.64	0.3	0.7	Abcam	0.4	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.3	0.01	1.64	0.3	0.7	Abcam	0.4	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.31	0.17	1.7	0.31	0.7	Abcam	0.39	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.31	0.3	1.66	0.31	0.7	Abcam	0.39	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.31	0.03	1.54	0.31	0.7	Abcam	0.39	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.31	0.61	1.69	0.31	0.7	Abcam	0.39	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.31	0.02	2.79	0.31	0.7	Abcam	0.39	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.31	0.34	1.38	0.31	0.7	Abcam	0.39	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.31	0.62	1.55	0.31	0.7	Abcam	0.39	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.31	0.25	1.61	0.31	0.7	Abcam	0.39	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.31	0.02	1.6	0.31	0.7	Abcam	0.39	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.32	0.17	1.7	0.32	0.72	Abcam	0.4	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.32	0.3	1.63	0.32	0.72	Abcam	0.4	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.32	0.03	1.51	0.32	0.72	Abcam	0.4	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.32	0.62	1.65	0.32	0.72	Abcam	0.4	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.32	0.02	2.66	0.32	0.72	Abcam	0.4	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.32	0.35	1.35	0.32	0.72	Abcam	0.4	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.32	0.63	1.51	0.32	0.72	Abcam	0.4	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.32	0.25	1.58	0.32	0.72	Abcam	0.4	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.32	0.02	1.55	0.32	0.72	Abcam	0.4	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.33	0.17	1.7	0.33	0.72	Abcam	0.39	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.33	0.3	1.6	0.33	0.72	Abcam	0.39	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.33	0.03	1.51	0.33	0.72	Abcam	0.39	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.33	0.62	1.65	0.33	0.72	Abcam	0.39	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.33	0.02	2.54	0.33	0.72	Abcam	0.39	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.33	0.35	1.31	0.33	0.72	Abcam	0.39	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.33	0.63	1.51	0.33	0.72	Abcam	0.39	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.33	0.26	1.54	0.33	0.72	Abcam	0.39	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.33	0.02	1.53	0.33	0.72	Abcam	0.39	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.34	0.17	1.7	0.34	0.72	Abcam	0.38	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.34	0.3	1.57	0.34	0.72	Abcam	0.38	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.34	0.03	1.49	0.34	0.72	Abcam	0.38	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.34	0.64	1.61	0.34	0.72	Abcam	0.38	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.34	0.02	2.54	0.34	0.72	Abcam	0.38	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.34	0.35	1.26	0.34	0.72	Abcam	0.38	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.34	0.64	1.48	0.34	0.72	Abcam	0.38	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.34	0.26	1.5	0.34	0.72	Abcam	0.38	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.34	0.02	1.51	0.34	0.72	Abcam	0.38	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.35	0.17	1.7	0.35	0.74	Abcam	0.39	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.35	0.3	1.55	0.35	0.74	Abcam	0.39	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.35	0.03	1.45	0.35	0.74	Abcam	0.39	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.35	0.64	1.61	0.35	0.74	Abcam	0.39	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.35	0.02	2.45	0.35	0.74	Abcam	0.39	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.35	0.35	1.26	0.35	0.74	Abcam	0.39	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.35	0.65	1.45	0.35	0.74	Abcam	0.39	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.35	0.26	1.47	0.35	0.74	Abcam	0.39	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.35	0.02	1.5	0.35	0.74	Abcam	0.39	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.36	0.17	1.7	0.36	0.74	Abcam	0.38	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.36	0.3	1.52	0.36	0.74	Abcam	0.38	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.36	0.03	1.45	0.36	0.74	Abcam	0.38	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.36	0.64	1.58	0.36	0.74	Abcam	0.38	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.36	0.02	2.35	0.36	0.74	Abcam	0.38	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.36	0.35	1.2	0.36	0.74	Abcam	0.38	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.36	0.65	1.45	0.36	0.74	Abcam	0.38	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.36	0.26	1.43	0.36	0.74	Abcam	0.38	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.36	0.02	1.47	0.36	0.74	Abcam	0.38	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.37	0.17	1.7	0.37	0.74	Abcam	0.37	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.37	0.31	1.49	0.37	0.74	Abcam	0.37	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.37	0.03	1.42	0.37	0.74	Abcam	0.37	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.37	0.66	1.55	0.37	0.74	Abcam	0.37	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.37	0.02	2.35	0.37	0.74	Abcam	0.37	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.37	0.35	1.2	0.37	0.74	Abcam	0.37	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.37	0.66	1.42	0.37	0.74	Abcam	0.37	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.37	0.26	1.4	0.37	0.74	Abcam	0.37	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.37	0.02	1.43	0.37	0.74	Abcam	0.37	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.38	0.17	1.41	0.38	0.74	Abcam	0.36	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.38	0.31	1.47	0.38	0.74	Abcam	0.36	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.38	0.03	1.4	0.38	0.74	Abcam	0.36	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.38	0.66	1.55	0.38	0.74	Abcam	0.36	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.38	0.02	2.26	0.38	0.74	Abcam	0.36	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.38	0.35	1.2	0.38	0.74	Abcam	0.36	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.38	0.66	1.42	0.38	0.74	Abcam	0.36	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.38	0.26	1.36	0.38	0.74	Abcam	0.36	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.38	0.02	1.42	0.38	0.74	Abcam	0.36	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.39	0.17	1.41	0.39	0.76	Abcam	0.37	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.39	0.31	1.47	0.39	0.76	Abcam	0.37	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.39	0.03	1.39	0.39	0.76	Abcam	0.37	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.39	0.67	1.52	0.39	0.76	Abcam	0.37	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.39	0.02	2.26	0.39	0.76	Abcam	0.37	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.39	0.35	1.11	0.39	0.76	Abcam	0.37	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.39	0.66	1.39	0.39	0.76	Abcam	0.37	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.39	0.26	1.33	0.39	0.76	Abcam	0.37	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.39	0.02	1.4	0.39	0.76	Abcam	0.37	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.4	0.17	1.41	0.4	0.76	Abcam	0.36	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.4	0.32	1.42	0.4	0.76	Abcam	0.36	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.4	0.03	1.37	0.4	0.76	Abcam	0.36	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.4	0.67	1.52	0.4	0.76	Abcam	0.36	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.4	0.02	2.17	0.4	0.76	Abcam	0.36	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.4	0.35	1.11	0.4	0.76	Abcam	0.36	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.4	0.68	1.37	0.4	0.76	Abcam	0.36	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.4	0.26	1.33	0.4	0.76	Abcam	0.36	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.4	0.02	1.36	0.4	0.76	Abcam	0.36	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.41	0.17	1.41	0.41	0.76	Abcam	0.35	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.41	0.32	1.42	0.41	0.76	Abcam	0.35	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.41	0.03	1.35	0.41	0.76	Abcam	0.35	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.41	0.68	1.49	0.41	0.76	Abcam	0.35	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.41	0.02	2.1	0.41	0.76	Abcam	0.35	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.41	0.35	1.11	0.41	0.76	Abcam	0.35	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.41	0.68	1.37	0.41	0.76	Abcam	0.35	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.41	0.26	1.29	0.41	0.76	Abcam	0.35	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.41	0.02	1.34	0.41	0.76	Abcam	0.35	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.42	0.17	1.41	0.42	0.76	Abcam	0.34	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.42	0.32	1.37	0.42	0.76	Abcam	0.34	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.42	0.03	1.34	0.42	0.76	Abcam	0.34	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.42	0.68	1.47	0.42	0.76	Abcam	0.34	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.42	0.02	2.1	0.42	0.76	Abcam	0.34	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.42	0.35	1.11	0.42	0.76	Abcam	0.34	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.42	0.68	1.34	0.42	0.76	Abcam	0.34	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.42	0.26	1.25	0.42	0.76	Abcam	0.34	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.42	0.02	1.31	0.42	0.76	Abcam	0.34	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.43	0.17	1.41	0.43	0.77	Abcam	0.34	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.43	0.32	1.37	0.43	0.77	Abcam	0.34	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.43	0.03	1.32	0.43	0.77	Abcam	0.34	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.43	0.68	1.47	0.43	0.77	Abcam	0.34	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.43	0.02	2.03	0.43	0.77	Abcam	0.34	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.43	0.35	1.11	0.43	0.77	Abcam	0.34	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.43	0.69	1.32	0.43	0.77	Abcam	0.34	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.43	0.26	1.25	0.43	0.77	Abcam	0.34	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.43	0.02	1.27	0.43	0.77	Abcam	0.34	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.44	0.17	1.41	0.44	0.78	Abcam	0.34	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.44	0.32	1.32	0.44	0.78	Abcam	0.34	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.44	0.03	1.3	0.44	0.78	Abcam	0.34	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.44	0.69	1.44	0.44	0.78	Abcam	0.34	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.44	0.03	1.96	0.44	0.78	Abcam	0.34	0.43	
TRESS	Combo47	mean_Ex_bin100_P0.5	0.44	0.35	1.11	0.44	0.78	Abcam	0.34	0.43	
TRESS	Combo48	mean_Ex_bin100_P0.5	0.44	0.69	1.3	0.44	0.78	Abcam	0.34	0.43	
exomePeak2	Combo6	mean_Tx_bin100_P0.5	0.44	0.26	1.21	0.44	0.78	Abcam	0.34	0.43	
MeTPeak	Combo29	mean_Ex_bin0_P0.5	0.44	0.02	1.23	0.44	0.78	Abcam	0.34	0.43	
TRESS	Combo57	mean_Ex_bin100_P0.5	0.45	0.17	1.41	0.45	0.78	Abcam	0.33	0.43	
MeTPeak	Combo5	mean_Ex_bin100_P0.5	0.45	0.32	1.32	0.45	0.78	Abcam	0.33	0.43	
MeTPeak	Combo31	mean_Ex_bin0_P0.5	0.45	0.03	1.27	0.45	0.78	Abcam	0.33	0.43	
MACS2	Combo5	mean_Tx_bin100_P0.5	0.45	0.7	1.42	0.45	0.78	Abcam	0.33	0.43	
MeRIPtools	Combo4	mean_Ex_bin0_P0.5	0.45	0.03	1.96	0.45	0.78	Abcam	0.33	0.43	
