Method	ComboName	optionID	MergedFPR	optionTPR	cutoff	FPR	TPR	M6APeakModel	TPRmFPR	maxTPRmFPR	Mode
TRESS	Combo32	mean_Ex_bin100_P1	0.17	0.62	1.53	0.17	0.72	NEB	0.55	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.17	0.62	1.5	0.17	0.72	NEB	0.55	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.17	0.57	1.34	0.17	0.72	NEB	0.55	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.17	0.44	1.6	0.17	0.72	NEB	0.55	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.17	0.6	1.28	0.17	0.72	NEB	0.55	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.17	0.05	1.52	0.17	0.72	NEB	0.55	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.18	0.48	1.67	0.18	0.72	NEB	0.54	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.18	0.63	1.46	0.18	0.72	NEB	0.54	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.18	0.05	6.97	0.18	0.72	NEB	0.54	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.18	0.62	1.53	0.18	0.72	NEB	0.54	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.18	0.62	1.5	0.18	0.72	NEB	0.54	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.18	0.57	1.34	0.18	0.72	NEB	0.54	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.18	0.44	1.54	0.18	0.72	NEB	0.54	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.18	0.61	1.25	0.18	0.72	NEB	0.54	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.18	0.05	1.49	0.18	0.72	NEB	0.54	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.19	0.48	1.63	0.19	0.73	NEB	0.54	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.19	0.63	1.46	0.19	0.73	NEB	0.54	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.19	0.06	5.94	0.19	0.73	NEB	0.54	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.19	0.62	1.53	0.19	0.73	NEB	0.54	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.19	0.62	1.5	0.19	0.73	NEB	0.54	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.19	0.57	1.34	0.19	0.73	NEB	0.54	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.19	0.44	1.49	0.19	0.73	NEB	0.54	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.19	0.61	1.25	0.19	0.73	NEB	0.54	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.19	0.05	1.43	0.19	0.73	NEB	0.54	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.2	0.48	1.59	0.2	0.74	NEB	0.54	0.58	Sensitive
MACS2	Combo42	mean_Ex_bin100_P2	0.2	0.63	1.46	0.2	0.74	NEB	0.54	0.58	Sensitive
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.2	0.06	5.63	0.2	0.74	NEB	0.54	0.58	Sensitive
TRESS	Combo32	mean_Ex_bin100_P1	0.2	0.63	1.42	0.2	0.74	NEB	0.54	0.58	Sensitive
MACS2	Combo50	mean_Tx_bin100_P2	0.2	0.62	1.5	0.2	0.74	NEB	0.54	0.58	Sensitive
exomePeak	Combo28	mean_Ex_bin100_P2	0.2	0.58	1.28	0.2	0.74	NEB	0.54	0.58	Sensitive
exomePeak2	Combo5	mean_Tx_bin100_P1	0.2	0.44	1.44	0.2	0.74	NEB	0.54	0.58	Sensitive
exomePeak2	Combo19	mean_Ex_bin100_P2	0.2	0.62	1.23	0.2	0.74	NEB	0.54	0.58	Sensitive
MeTPeak	Combo30	mean_Ex_bin0_P1	0.2	0.05	1.4	0.2	0.74	NEB	0.54	0.58	Sensitive
exomePeak	Combo17	mean_Ex_bin100_P1	0.21	0.48	1.55	0.21	0.74	NEB	0.53	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.21	0.63	1.46	0.21	0.74	NEB	0.53	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.21	0.06	4.5	0.21	0.74	NEB	0.53	0.58	
